id,keywords,date,nbComments,nbView,nbStars,nbVotes,source
25967,Rédaction E&R;Allemagne;Écologie;États-Unis;Histoire;International;Mai 68;Médias;Mondialisme;Politique;Union européenne,2014-06-11 00:00:00,19,22516,5,107,undefined
26457,Rédaction E&R;France;Médias,2014-07-04 00:00:00,212,72759,5,462,undefined
26247,Rédaction E&R;France;Médias;Politique,2014-06-24 00:00:00,34,46237,5,172,undefined
25287,Extrême gauche;France;Islam;Médias;Philosophie,2014-05-12 00:00:00,64,36304,5,91,undefined
26786,Humour,2014-07-20 00:00:00,31,46078,5,237,undefined
27074,Économie;François Hollande;Histoire;Humour;International;Israël;Mondialisme;Palestine;Zéon,2014-08-03 00:00:00,20,45790,5,212,undefined
26048,Louis Alexandre;Extrême gauche;Histoire;Israël;Italie;OTAN;Politique;Renseignement;Terrorisme,2014-06-15 00:00:00,10,13038,5,64,undefined
26358,Humour,2014-06-29 00:00:00,80,46323,5,204,undefined
26631,Rédaction E&R;Antiracisme;Communautés;France;Immigration;Manuel Valls;Politique,2014-07-13 00:00:00,28,16289,4,79,undefined
26480,Rédaction E&R;Croatie;France;Immigration;International;Kosovo,2014-07-05 00:00:00,117,34861,2,185,undefined
24929,Gilad Atzmon;Israël;Judaïsme;Nationalisme;Politique;Religion;Royaume-Uni;Sionisme,2014-04-27 00:00:00,48,29282,5,196,gilad.co.uk
26197,Humour,2014-06-22 00:00:00,66,38293,5,209,undefined
25424,Humour,2014-05-18 00:00:00,36,41026,5,227,undefined
26303,Louis Alexandre;Espagne;Histoire;Islam;LRPS;Médias,2014-06-27 00:00:00,11,9496,4,45,undefined
25731,Humour,2014-06-01 00:00:00,41,40462,5,230,undefined
25421,France;Géopolitique;Mondialisme;People;Politique;Russie;Santé;Société;Union européenne,2014-05-18 00:00:00,49,85320,5,652,undefined
27206,Féminisme;France;Humour;International;Israël;Justice & Droit;Médias;Palestine;Politique;Russie;Traité transatlantique;Ukraine;Zéon,2014-08-10 00:00:00,41,45636,5,210,undefined
25577,Humour;Politique;Société,2014-05-25 00:00:00,52,41949,5,203,undefined
25902,Humour,2014-06-08 00:00:00,25,38326,5,226,undefined
25365,Communautés;France;Israël;Judaïsme;Manuel Valls;Palestine;Politique;Sionisme,2014-05-15 00:00:00,97,53665,2,299,undefined
25261,Humour,2014-05-11 00:00:00,48,54246,5,241,undefined
26638,Humour;Politique;Société,2014-07-13 00:00:00,35,34348,5,225,undefined
25113,Antifa;Dieudonné;Féminisme;Humour;Israël;Manuel Valls;Palestine;Politique;Sionisme;Théorie du genre;Union européenne,2014-05-04 00:00:00,61,50241,5,228,undefined
24965,Communautés;Humour;Politique;Société,2014-04-27 00:00:00,18,35906,5,191,undefined
26930,Féminisme;France;Humour;Israël;Palestine;Politique,2014-07-27 00:00:00,38,50792,5,275,undefined
26263,Esclavage;Histoire;International;Irlande;Royaume-Uni,2014-06-25 00:00:00,103,59386,5,203,globalresearch.ca
25405,Écologie;France;Politique,2014-05-17 00:00:00,115,81078,5,352,Faits & Documents
25124,International;Russie;Suisse,2014-05-05 00:00:00,61,18167,2,128,E&R
